,Date,MinTemp,MaxTemp,Rainfall
320,2008-09-16,10.2,19.449999999999996,0.9000000000000001
321,2008-09-17,9.7375,20.075,1.0499999999999998
322,2008-09-18,11.499999999999998,21.8375,0.225
323,2008-09-19,13.7875,24.525000000000006,0.55
324,2008-09-20,13.125,23.7125,0.275
325,2008-09-21,11.5,22.500000000000004,1.875
326,2008-09-22,12.1,23.125000000000004,0.675
327,2008-09-23,11.175,20.6875,4.2250000000000005
328,2008-09-24,10.65,21.5,0.9500000000000001
329,2008-09-25,11.1875,22.674999999999997,2.625
330,2008-09-26,12.649999999999999,24.224999999999994,1.775
331,2008-09-27,11.95,25.2125,0.375
332,2008-09-28,14.2125,24.3875,0.025
333,2008-09-29,10.825,22.5,0.5
334,2008-09-30,10.775,21.2625,0.725
335,2008-10-01,12.0375,24.375,0.075
336,2008-10-02,14.475000000000001,25.812500000000004,0.775
337,2008-10-03,14.5625,25.875,0.05
338,2008-10-04,13.2875,21.487499999999997,3.4285714285714284
339,2008-10-05,11.225,23.012500000000003,0.9714285714285715
340,2008-10-06,12.950000000000003,22.442857142857143,0.42857142857142855
341,2008-10-07,10.571428571428571,20.575000000000003,2.025
342,2008-10-08,10.525,22.0375,2.375
343,2008-10-09,10.987499999999999,22.924999999999997,0.175
344,2008-10-10,12.174999999999999,24.5875,2.825
345,2008-10-11,13.0125,25.162499999999994,0.95
346,2008-10-12,13.825,25.8875,0.325
347,2008-10-13,13.712499999999999,23.887500000000003,0.35
348,2008-10-14,14.025,23.15,1.7249999999999999
349,2008-10-15,13.675,23.637499999999996,8.45
350,2008-10-16,12.225000000000001,23.2875,3.5250000000000004
351,2008-10-17,13.112499999999999,24.650000000000002,0.07500000000000001
352,2008-10-18,14.225,27.8375,3.425
353,2008-10-19,14.3625,25.762500000000003,0.0
354,2008-10-20,14.5375,25.175,0.025
355,2008-10-21,13.5125,23.1375,0.225
356,2008-10-22,11.987499999999999,21.375,4.300000000000001
357,2008-10-23,10.6625,23.8125,1.425
358,2008-10-24,12.5625,24.9375,0.875
359,2008-10-25,13.45,26.9375,2.5749999999999997
360,2008-10-26,15.4125,26.4125,0.025
361,2008-10-27,15.15,27.1875,0.35
362,2008-10-28,14.012500000000001,23.799999999999997,0.275
363,2008-10-29,14.274999999999999,22.987499999999997,1.55
364,2008-10-30,14.987499999999999,26.51428571428571,1.025
365,2008-10-31,15.314285714285713,25.575,0.08571428571428573
366,2008-11-01,14.462499999999999,24.025,0.17142857142857146
367,2008-11-02,14.8625,26.000000000000004,0.8250000000000001
368,2008-11-03,15.975000000000001,23.7125,2.725
369,2008-11-04,13.837499999999999,23.175,2.125
370,2008-11-05,13.5625,23.15,1.25
371,2008-11-06,13.674999999999999,26.2125,4.025
372,2008-11-07,14.3625,24.549999999999997,1.15
373,2008-11-08,15.912499999999998,23.8125,3.375
374,2008-11-09,14.3875,25.6,1.2
375,2008-11-10,15.375,26.512500000000003,0.075
376,2008-11-11,15.7,28.125,0.05
377,2008-11-12,17.3,28.5375,0.125
378,2008-11-13,17.975,28.9625,1.1
379,2008-11-14,16.625,26.075,1.4
380,2008-11-15,15.750000000000002,25.325000000000003,1.275
381,2008-11-16,14.05,24.45,0.85
382,2008-11-17,14.537500000000001,24.1125,3.975
383,2008-11-18,15.1875,23.224999999999998,2.0
384,2008-11-19,15.950000000000001,25.0625,11.45
385,2008-11-20,16.85,23.9,17.924999999999997
386,2008-11-21,14.3375,25.012500000000003,4.625
387,2008-11-22,13.8375,21.450000000000003,4.95
388,2008-11-23,13.100000000000001,21.8,6.8
389,2008-11-24,13.937499999999998,24.049999999999997,0.975
390,2008-11-25,15.337499999999999,24.925,0.525
391,2008-11-26,15.4125,25.3625,1.4749999999999999
392,2008-11-27,16.400000000000002,26.275000000000002,3.3249999999999997
393,2008-11-28,17.025,23.9,2.6999999999999997
394,2008-11-29,16.349999999999998,23.800000000000004,4.875
395,2008-11-30,13.599999999999998,25.3625,5.325
396,2008-12-01,14.186363636363637,25.18095238095238,1.718181818181818
397,2008-12-02,13.142857142857142,25.999999999999996,0.8818181818181817
398,2008-12-03,15.522727272727273,26.282608695652176,0.4272727272727273
399,2008-12-04,14.317391304347824,25.44782608695652,0.6608695652173914
400,2008-12-05,16.778260869565216,27.44782608695652,2.191304347826087
401,2008-12-06,16.660869565217393,27.878260869565214,1.0434782608695652
402,2008-12-07,15.686956521739129,24.691304347826087,1.8
403,2008-12-08,14.004545454545456,25.36086956521739,4.68695652173913
404,2008-12-09,14.51304347826087,25.82608695652174,0.9565217391304346
405,2008-12-10,15.486363636363636,24.84090909090909,3.072727272727273
406,2008-12-11,15.55,24.917391304347827,1.4
407,2008-12-12,16.152173913043477,23.56086956521739,3.452173913043478
408,2008-12-13,16.58695652173913,24.626086956521732,24.7304347826087
409,2008-12-14,16.065217391304348,24.030434782608694,3.8521739130434787
410,2008-12-15,13.773913043478261,24.373913043478257,3.069565217391304
411,2008-12-16,13.669565217391304,24.97391304347826,2.0999999999999996
412,2008-12-17,15.052173913043475,25.078260869565216,1.8869565217391304
413,2008-12-18,15.882608695652177,25.786956521739132,3.069565217391305
414,2008-12-19,14.526086956521745,24.35217391304348,3.895652173913043
415,2008-12-20,13.899999999999997,24.65652173913044,2.217391304347826
416,2008-12-21,14.400000000000002,26.804347826086957,0.7217391304347827
417,2008-12-22,16.51739130434783,28.69130434782608,0.11304347826086955
418,2008-12-23,16.991304347826087,26.721739130434784,0.7999999999999999
419,2008-12-24,16.008695652173916,25.827272727272728,1.373913043478261
420,2008-12-25,15.954545454545455,27.343478260869563,0.7217391304347825
421,2008-12-26,17.156521739130433,29.143478260869564,0.3739130434782609
422,2008-12-27,18.02173913043478,28.2695652173913,1.9739130434782608
423,2008-12-28,17.459090909090914,28.09565217391304,6.504347826086956
424,2008-12-29,16.830434782608695,25.97391304347826,3.617391304347827
425,2008-12-30,16.18260869565217,26.221739130434784,3.260869565217391
426,2008-12-31,15.582608695652175,26.55217391304348,4.8
427,2009-01-01,15.482222222222223,28.144444444444446,0.5288888888888889
428,2009-01-02,14.904545454545458,25.351111111111106,0.25777777777777783
429,2009-01-03,13.944444444444441,25.940000000000005,0.42222222222222217
430,2009-01-04,14.893181818181818,29.466666666666665,0.9333333333333333
